Game,Total,Twitch_Year
.hack//G.U. Last Recode,463047.5997,2017
60 Seconds!,2867757.036102,2017
7 Days to Die,157815966.232176,2017
<U+014C>kami,698584.582836,2017
A Hat in Time,6094187.159444999,2017
ARK: Survival Evolved,906007675.8641368,2017
ARMS,4820721.380748,2017
ASTRONEER,12291581.288448,2017
Absolver,17400374.966646,2017
Age of Empires II,39798392.158392,2017
Age of Empires II: HD Edition,2409600.370464,2017
Agents of Mayhem,2157417.869607,2017
Albion Online,85335980.523213,2017
Alien: Isolation,5187696.622038,2017
Always On,405557535.801936,2017
American Truck Simulator,1897986.449394,2017
Angvik,5438589.985584,2017
Anime,94199257.920453,2017
Ape Escape,1906516.8728970003,2017
ArcheAge,9024340.848054,2017
Arena of Valor,4230350.366046,2017
Arma 3,1313979063.393465,2017
Assassin's Creed II,2472688.660176,2017
Assassin's Creed: Origins,462030059.98443,2017
Azure Striker GUNVOLT 2,1801341.6667680002,2017
Banjo-Kazooie,3627206.67078,2017
Barbie and The Magic of Pegasus,5014727.296362,2017
Batman: Arkham City,2242736.424705,2017
Battle Brothers,1766945.289249,2017
Battle Chasers: Nightwar,13200822.020148,2017
Battlefield 1,242155260.828096,2017
Battlefield 4,1118788.999356,2017
Battlerite,191300447.987397,2017
Bayonetta,3448433.806356,2017
Ben and Ed - Blood Party,380319.87294,2017
Berserk and the Band of the Hawk,1319158.939287,2017
Bethesda at E3,3188808.9863700005,2017
Beyond: Two Souls,993720.569247,2017
Bionic Commando Rearmed,1278213.21243,2017
Black Desert Online,2056003667.890473,2017
Blackwake,38692558.546635,2017
Blade & Soul,64232341.629645005,2017
Blaster Master,1669115.2055759998,2017
BlazBlue: Central Fiction,3100997.919348,2017
Blood Bowl 2,6935043.053022,2017
Bloodborne,109469524.096863,2017
Board Games,8073044.15841,2017
Bomber Crew,728792.324694,2017
Borderlands 2,105509079.93381,2017
Brawl Stars,536227.594602,2017
Brawl of Ages,488242.1507039999,2017
Brawlhalla,631638.769608,2017
Bridge Constructor Portal,8270832.843,2017
Brothers: A Tale of Two Sons,1406437.782372,2017
Call of Duty 2,762247.8989789999,2017
Call of Duty: Black Ops,726809.2002990001,2017
Call of Duty: Black Ops II,35391082.514067,2017
Call of Duty: Black Ops III,354668423.859246,2017
Call of Duty: Ghosts,74408712.88116,2017
Call of Duty: Infinite Warfare,635456543.927142,2017
Call of Duty: Modern Warfare Remastered,163293825.976218,2017
Call of Duty: WWII,8486507781.40723,2017
Car Mechanic Simulator 2018,2170401.55038,2017
Casino_old,2771503988.808786,2017
Castlevania: Rondo of Blood,1150711.190853,2017
Cat Goes Fishing,1273125.077784,2017
Chess,28027865.343156,2017
Chrono Trigger,6291081.423312,2017
Citadel: Forged With Fire,13425776.75691,2017
Cities: Skylines,21079408.944237,2017
Clash Royale,718638949.184898,2017
Clash of Clans,4828719.138726001,2017
Comedy Night,3538476.548733,2017
Company of Heroes 2,384145.854456,2017
Conan Exiles,2132974213.1798725,2017
Conarium,459135.429669,2017
"Cook, Serve, Delicious! 2!!",792801.23076,2017
Cosmos,2433820.6206300003,2017
Counter-Strike: Global Offensive,392410095455.7592,2017
Crash Bandicoot 2: Cortex Strikes Back,1006968.698148,2017
Crash Bandicoot N. Sane Trilogy,157985708.322351,2017
Creative,4215281023.702812,2017
Crossout,8012005.247064,2017
Crusader Kings II,323365.776762,2017
Cuphead,952456547.604807,2017
DOOM,7530773.652822001,2017
DRAGON BALL Z DOKKAN BATTLE,483331.092846,2017
